state2,distance
Alabama,4077.3821775962833
Arizona,1348.7170068790763
Arkansas,3417.8319636981573
California,415.9506567563833
Colorado,2018.369869710033
Connecticut,5596.857166768186
Delaware,5276.06151017816
Florida,4291.900952145623
Georgia,4286.167198558024
Idaho,758.6048796501146
Illinois,3711.396303376238
Indiana,4099.469219483758
Iowa,3270.811634421673
Kansas,3043.9326511078034
Kentucky,4240.3988217294645
Louisiana,3550.036229175004
Maine,5922.590967652063
Maryland,5167.641131336803
Massachusetts,5780.734859664815
Michigan,4278.664134224822
Minnesota,3328.6378295137083
Mississippi,3650.21593622173
Missouri,3430.829106350349
Montana,1226.2576639681056
Nebraska,2932.7609056971146
Nevada,493.95011783983335
New Hampshire,5723.6920390394125
New Jersey,5363.583637770108
New Mexico,1939.4954580812223
New York,5475.101805069548
North Carolina,4923.587668243701
North Dakota,2478.037162879513
Ohio,4448.494289581665
Oklahoma,2849.141846056925
Oregon,0
